,Country_Region,Confirmed,Deaths,Active,Deaths_per_100,iso3,Population,Lat,Long,Continent,Cases_per_million,Confirmed_last_week,Deaths_last_week,New_cases_last_week,New_deaths_last_week,Confirmed_last_month,Deaths_last_month,New_cases_last_month,New_deaths_last_month
41,Congo (Kinshasa),87023.0,1337.0,0.0,1.5363754409753743,COD,89561404.0,-4.0383,21.7587,Africa,971.657389381703,87023.0,1337.0,0.0,0.0,86611.0,1335.0,412.0,2.0
42,Costa Rica,847784.0,8383.0,0.0,0.9888131882649354,CRI,5094114.0,9.7489,-83.7534,North America,166424.2300034903,844892.0,8357.0,2892.0,26.0,834726.0,8266.0,13058.0,117.0
43,Cote d'Ivoire,81887.0,799.0,0.0,0.9757348541282499,CIV,26378275.0,7.54,-5.5471,Africa,3104.334911968277,81857.0,797.0,30.0,2.0,81697.0,796.0,190.0,3.0
44,Croatia,1117175.0,15778.0,0.0,1.4123123055922304,HRV,4105268.0,45.1,15.2,Europe,272132.05081860675,1113135.0,15725.0,4040.0,53.0,1093098.0,15509.0,24077.0,269.0
45,Cuba,1101486.0,8523.0,0.0,0.773772884993545,CUB,11326616.0,21.521757,-77.781167,North America,97247.58038941199,1099444.0,8520.0,2042.0,3.0,1086361.0,8509.0,15125.0,14.0
46,Cyprus,470481.0,1011.0,0.0,0.21488646725372543,CYP,1207361.0,35.1264,33.4299,Asia,389677.15538269,464366.0,993.0,6115.0,18.0,405706.0,932.0,64775.0,79.0
47,Czechia,3895544.0,40081.0,0.0,1.028893525525575,CZE,10708982.0,49.8175,15.473,Europe,363764.1747833734,3881644.0,39980.0,13900.0,101.0,3784532.0,39527.0,111012.0,554.0
48,Denmark,3155643.0,6121.0,0.0,0.1939699769587371,DNK,5837213.0,56.2639,9.5018,Europe,540607.8208898664,3143644.0,6034.0,11999.0,87.0,3085833.0,5632.0,69810.0,489.0
49,Djibouti,15611.0,189.0,0.0,1.2106847735571071,DJI,988002.0,11.8251,42.5903,Africa,15800.575302479145,15598.0,189.0,13.0,0.0,15580.0,189.0,31.0,0.0
50,Dominica,12011.0,63.0,0.0,0.52451919074182,DMA,71991.0,15.415,-61.371,North America,166840.2994818797,11988.0,63.0,23.0,0.0,11787.0,63.0,224.0,0.0
51,Dominican Republic,578954.0,4376.0,0.0,0.7558458875834695,DOM,10847904.0,18.7357,-70.1627,North America,53370.12569432768,578733.0,4375.0,221.0,1.0,577841.0,4375.0,1113.0,1.0
52,Ecuador,868053.0,35581.0,0.0,4.098943267288979,ECU,17643060.0,-1.8312,-78.1834,South America,49200.818905564,865585.0,35513.0,2468.0,68.0,857299.0,35418.0,10754.0,163.0
53,Egypt,515645.0,24613.0,0.0,4.773245158975652,EGY,102334403.0,26.820553,30.802498,Africa,5038.823551841115,511977.0,24522.0,3668.0,91.0,500889.0,24361.0,14756.0,252.0
54,El Salvador,162089.0,4127.0,0.0,2.5461320632492024,SLV,6486201.0,13.7942,-88.8965,North America,24989.820697816795,162089.0,4125.0,0.0,2.0,161052.0,4116.0,1037.0,11.0
55,Equatorial Guinea,15907.0,183.0,0.0,1.1504369145659143,GNQ,1402985.0,1.6508,10.2679,Africa,11337.968688189825,15906.0,183.0,1.0,0.0,15999.0,183.0,-92.0,0.0
56,Eritrea,9734.0,103.0,0.0,1.0581467022806657,ERI,3546427.0,15.1794,39.7823,Africa,2744.7343481199528,9733.0,103.0,1.0,0.0,9724.0,103.0,10.0,0.0
57,Estonia,570076.0,2531.0,0.0,0.4439758909338404,EST,1326539.0,58.5953,25.0136,Europe,429746.8826774034,567183.0,2511.0,2893.0,20.0,551067.0,2436.0,19009.0,95.0
58,Eswatini,70284.0,1397.0,0.0,1.9876501052871207,SWZ,1160164.0,-26.5225,31.4659,Africa,60581.09025965295,70098.0,1395.0,186.0,2.0,69663.0,1393.0,621.0,4.0
59,Ethiopia,470417.0,7510.0,0.0,1.5964559103943947,ETH,114963583.0,9.145,40.4897,Africa,4091.8783820438166,470259.0,7509.0,158.0,1.0,469611.0,7492.0,806.0,18.0
